SANTA CATARINA;CATANDUVAS;Sem Restrição;8579
SAO PAULO;CATANDUVA;Restrição Administrativa;9423
PARANA;PLANALTO;Sem Restrição;9693
MINAS GERAIS;BRASILANDIA DE MINAS;Sem Restrição;7992
SAO PAULO;BARRA BONITA;Sem Restrição;30346
SAO PAULO;VARGEM GRANDE PAULISTA;Sem Restrição;35406
PARA;MARITUBA;Sem Restrição;31841
RIO GRANDE DO SUL;SAPUCAIA DO SUL;Alienação Fiduciária;26984
RIO GRANDE DO SUL;SANTANA DO LIVRAMENTO;Sem Restrição;76804
PARANA;ARAUCARIA;Restrição Judical;1412
PERNAMBUCO;JUREMA;Sem Restrição;3185
RIO GRANDE DO SUL;TAQUARA;Alienação Fiduciária;11523
SAO PAULO;NOVA ODESSA;Restrição Administrativa;3871
SANTA CATARINA;SAO JOAO BATISTA;Alienação Fiduciária;11581
RIO GRANDE DO SUL;FARROUPILHA;Alienação Fiduciária;13476
PARANA;MOREIRA SALES;Sem Restrição;7135
MINAS GERAIS;SAO TOMAS DE AQUINO;Sem Restrição;3860
RIO GRANDE DO NORTE;CURRAIS NOVOS;Restrição Judical;119
PARANA;JANDAIA DO SUL;Sem Restrição;16830
RIO GRANDE DO NORTE;SAO JOSE DE MIPIBU;Sem Restrição;15376
RIO GRANDE DO SUL;BARRACAO;Sem Restrição;3508
SAO PAULO;CUNHA;Sem Restrição;14664
PARANA;SERRANOPOLIS DO IGUACU;Restrição Administrativa;32
SAO PAULO;SANTA FE DO SUL;Restrição Administrativa;1910
MINAS GERAIS;CARBONITA;Sem Restrição;5484
GOIAS;APARECIDA DE GOIANIA;Alienação Fiduciária;114460
MINAS GERAIS;FORMIGA;Restrição Administrativa;376
GOIAS;CORUMBA DE GOIAS;Restrição Administrativa;676
SAO PAULO;SANTO ANDRE;Reserva de Domínio;2469
MINAS GERAIS;JANUARIA;Sem Restrição;27510
PARANA;MARIOPOLIS;Sem Restrição;4520
SAO PAULO;IRACEMAPOLIS;Restrição Administrativa;1335
MINAS GERAIS;UBERLANDIA;Restrição Administrativa;3585
PARANA;BORRAZOPOLIS;Sem Restrição;6192
MINAS GERAIS;IPABA;Sem Restrição;5454
PARANA;ASTORGA;Restrição Administrativa;212
MINAS GERAIS;LAMIM;Sem Restrição;1868
MINAS GERAIS;CARATINGA;Reserva de Domínio;430
RIO GRANDE DO SUL;SANTA MARIA;Restrição Administrativa;2167
SAO PAULO;SERRANA;Restrição Administrativa;2347
MINAS GERAIS;GAMELEIRAS;Sem Restrição;1717
ALAGOAS;MACEIO;Alienação Fiduciária;90425
CEARA;PENAFORTE;Sem Restrição;4014
BAHIA;TAPEROA;Sem Restrição;4001
BAHIA;SANTA TERESINHA;Sem Restrição;1812
MINAS GERAIS;BRASOPOLIS;Alienação Fiduciária;1282
RIO GRANDE DO SUL;NOVO XINGU;Sem Restrição;1046
PERNAMBUCO;PAUDALHO;Alienação Fiduciária;5684
PARANA;SAO JORGE DO IVAI;Sem Restrição;4402
SAO PAULO;TEJUPA;Sem Restrição;1624
RIO GRANDE DO SUL;TRIUNFO;Reserva de Domínio;496
RONDONIA;ARIQUEMES;Alienação Fiduciária;31383
BAHIA;IBICOARA;Sem Restrição;6065
MINAS GERAIS;RITAPOLIS;Sem Restrição;2108
SANTA CATARINA;PRESIDENTE NEREU;Sem Restrição;1759
RIO GRANDE DO SUL;VERANOPOLIS;Restrição Judical;350
PARANA;BANDEIRANTES;Alienação Fiduciária;4674
RIO GRANDE DO SUL;SOLEDADE;Restrição Administrativa;243
SAO PAULO;LINDOIA;Restrição Administrativa;447
RIO GRANDE DO SUL;DOIS IRMAOS;Arrendamento;60
CEARA;SABOEIRO;Sem Restrição;4125
RIO GRANDE DO SUL;NOVA SANTA RITA;Restrição Administrativa;350
MATO GROSSO DO SUL;AGUA CLARA;Alienação Fiduciária;3476
SAO PAULO;CARAPICUIBA;Arrendamento;2166
SAO PAULO;ITAJOBI;Alienação Fiduciária;1849
GOIAS;BONFINOPOLIS;Restrição Administrativa;453
PARANA;JAPURA;Restrição Judical;83
RONDONIA;COLORADO DO OESTE;Alienação Fiduciária;3201
MINAS GERAIS;SAO ROQUE DE MINAS;Alienação Fiduciária;1120
PARANA;SALTO DO LONTRA;Restrição Judical;133
MINAS GERAIS;DIVISA NOVA;Restrição Judical;4
RIO GRANDE DO SUL;SEVERIANO DE ALMEIDA;Alienação Fiduciária;536
MINAS GERAIS;ROSARIO DA LIMEIRA;Sem Restrição;2760
RIO GRANDE DO SUL;SAO PEDRO DAS MISSOES;Alienação Fiduciária;182
SANTA CATARINA;CAMPO ERE;Reserva de Domínio;37
RIO GRANDE DO NORTE;MARTINS;Sem Restrição;3113
RIO GRANDE DO SUL;ALMIRANTE TAMANDARE DO SUL;Restrição Administrativa;17
ALAGOAS;MINADOR DO NEGRAO;Sem Restrição;1567
PIAUI;AGUA BRANCA;Restrição Administrativa;89
PERNAMBUCO;CHA DE ALEGRIA;Sem Restrição;2493
MATO GROSSO;SAO JOSE DO XINGU;Sem Restrição;2309
PARANA;SAO PEDRO DO PARANA;Restrição Administrativa;21
MINAS GERAIS;UNAI;Reserva de Domínio;554
SANTA CATARINA;RIO DOS CEDROS;Alienação Fiduciária;2350
SANTA CATARINA;IMBITUBA;Restrição Administrativa;319
RIO DE JANEIRO;QUISSAMA;Alienação Fiduciária;1844
BAHIA;GUAJERU;Restrição Judical;2
MARANHAO;CAROLINA;Alienação Fiduciária;881
SANTA CATARINA;ARARANGUA;Penhor ;41
MINAS GERAIS;PLANURA;Restrição Administrativa;37
TOCANTINS;SANTA FE DO ARAGUAIA;Sem Restrição;2064
PERNAMBUCO;OURICURI;Restrição Administrativa;120
PARANA;FRANCISCO ALVES;Restrição Judical;60
RIO GRANDE DO SUL;IBARAMA;Alienação Fiduciária;559
MARANHAO;SAO LUIS;Restrição Administrativa;2170
MATO GROSSO;AGUA BOA;Restrição Judical;76
RIO GRANDE DO SUL;ANTONIO PRADO;Restrição Administrativa;93
SAO PAULO;BARIRI;Restrição Judical;131
RIO GRANDE DO SUL;ITAQUI;Restrição por Roubo e Furto;4
MATO GROSSO DO SUL;RIBAS DO RIO PARDO;Alienação Fiduciária;3826
SAO PAULO;VITORIA BRASIL;Alienação Fiduciária;141
MINAS GERAIS;COIMBRA;Restrição Judical;5
PARANA;ESPIGAO ALTO DO IGUACU;Restrição Administrativa;21
RIO GRANDE DO NORTE;LAJES PINTADAS;Alienação Fiduciária;373
SAO PAULO;SANTO EXPEDITO;Restrição Administrativa;106
SANTA CATARINA;BOM JESUS;Alienação Fiduciária;750
PARANA;FERNANDES PINHEIRO;Restrição Judical;25
ESPIRITO SANTO;GUACUI;Reserva de Domínio;52
SANTA CATARINA;SANTA CECILIA;Reserva de Domínio;165
MINAS GERAIS;ILICINEA;Alienação Fiduciária;1229
GOIAS;CEZARINA;Restrição Judical;39
RIO GRANDE DO SUL;SAO VALENTIM;Restrição Judical;24
SERGIPE;ITAPORANGA D'AJUDA;Restrição Administrativa;75
SANTA CATARINA;BRACO DO TROMBUDO;Restrição Administrativa;34
MINAS GERAIS;MARTINS SOARES;Alienação Fiduciária;490
RIO GRANDE DO SUL;MONTENEGRO;Arrendamento;171
GOIAS;MINEIROS;Reserva de Domínio;1331
PERNAMBUCO;SANTA CRUZ;Alienação Fiduciária;816
BAHIA;ITUACU;Alienação Fiduciária;924
ESPIRITO SANTO;ECOPORANGA;Reserva de Domínio;96
MATO GROSSO;BRASNORTE;Restrição Administrativa;34
RIO GRANDE DO SUL;BARRA DO RIBEIRO;Restrição Judical;80
RIO DE JANEIRO;SAO JOSE DO VALE DO RIO PRETO;Restrição Judical;56
PARANA;LIDIANOPOLIS;Restrição Judical;34
RIO GRANDE DO SUL;SILVEIRA MARTINS;Restrição Judical;9
SAO PAULO;GUAREI;Restrição Judical;7
BAHIA;SANTO ANTONIO DE JESUS;Restrição por Roubo e Furto;4
SAO PAULO;BIRIGUI;Reserva de Domínio;179
SAO PAULO;SANTO ANASTACIO;Arrendamento;41
BAHIA;SANTA INES;Restrição Administrativa;9
MINAS GERAIS;SANTOS DUMONT;Restrição Administrativa;44
PARAIBA;CONDADO;Restrição Beneficiário Tributário;157
CEARA;PEDRA BRANCA;Restrição Judical;5
SAO PAULO;HERCULANDIA;Reserva de Domínio;1
MINAS GERAIS;SANTANA DE PIRAPAMA;Reserva de Domínio;21
SAO PAULO;PRACINHA;Restrição Administrativa;55
